#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,E1_score,E2_score,E3_score,E4_score,E5_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
M0_ii.3.2; M0_iv.3.2,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,True,False,72,51,21
M0.2.4; M0_iii.2.5,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,True,False,73,51,22
M0.2.2; M0_ii.2.3; M2.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,True,False,74,51,23
M0_ii.3.3; M0_iv.3.3,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,True,False,75,51,24
M0_ii.8.2; M0_iii.8.1,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,True,False,76,51,25
GS.5.5,No,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,66",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,65",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,False,True,77,52,25
M0.5.3; M0_iii.5.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",1.32,2.0,0.329,1.31,0.98,55,True,False,78,52,26
GS.10.7,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.89,1.0,0.893,0.89,0.89,56,False,True,79,53,26
L0_iv.10.5,Yes,Template drift,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,True,False,80,53,27
L0_iii.8.5,Yes,Template drift,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.89,1.0,0.222,0.89,0.78,56,True,False,81,53,28
