#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.9.4,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",0.9825474360735368,3.55,4.0,0.887,3.55,3.1,0.9825474360735368,20,False,True,31,30,1
GS.10.11,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",0.9825474360735368,3.55,4.0,0.887,3.55,3.1,0.9825474360735368,20,False,True,32,31,1
GS.8.2,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",0.9825474360735368,3.55,4.0,0.887,3.55,3.1,0.9825474360735368,20,False,True,33,32,1
GS.9.6,No,,,,,,,,,,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,85","0,85","0,85","0,85",,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,84","0,84","0,84","0,84",,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,68","0,68","0,68","0,68",,,,6.0,"4,75","4,749","4,70","4,03",0.9734018184951704,4.75,6.0,4.749,4.7,4.03,0.9734018184951704,21,False,True,34,33,1
L0_iv.10.4; G0.10.1; G0_iii.10.3; G0_iv.10.2; G2.10.1,Yes,Architectural infeasibility,,,,,X,,,,,,,,,,,,,,,X,,X,X,,X,,,,,"0,89",,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,"0,74",,,,,"0,89",,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,"0,74",,,,,"0,78",,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,"0,74",,5.0,"4,19","3,523","4,15","3,54",0.9696574610889763,4.19,5.0,3.523,4.15,3.54,0.9696574610889763,22,True,False,35,33,2
GS.4.10,No,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,"0,80",,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,6.0,"4,32","1,680","4,30","3,54",0.9658992988161373,4.32,6.0,1.68,4.3,3.54,0.9658992988161373,23,False,True,36,34,2
GS.7.5,No,,,X,,,,,X,,,,,,,X,X,,,X,X,,,,,,,,"0,89",,,,,"0,89",,,,,,,"0,66","0,66",,,"0,75","0,61",,,,,,,,"0,89",,,,,"0,89",,,,,,,"0,65","0,65",,,"0,75","0,61",,,,,,,,"0,78",,,,,"0,89",,,,,,,"0,49","0,49",,,"0,75","0,61",,,,,,,,6.0,"4,45","2,800","4,44","4,01",0.9658992988161373,4.45,6.0,2.8,4.44,4.01,0.9658992988161373,23,False,True,37,35,2
GS.4.12,No,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,"0,80",,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,6.0,"4,32","1,680","4,30","3,54",0.9658992988161373,4.32,6.0,1.68,4.3,3.54,0.9658992988161373,23,False,True,38,36,2
GS.4.4,No,,H.4.4,X,,,,,,X,,P,P,,,,,,,P,P,,,,,,,,"0,89",,,,,,"0,76",,"0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89",,,,,,"0,74",,"0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78",,,,,,"0,49",,"0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,6.0,"4,52","2,147","4,46","3,61",0.9609318130696851,4.52,6.0,2.147,4.46,3.61,0.9609318130696851,24,False,True,39,37,2
GS.7.6,No,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,"0,78","0,78",,,,,,,,,,,,,,,,,,,,,,3.0,"2,66","0,665","2,66","2,33",0.7716578830528132,2.66,3.0,0.665,2.66,2.33,0.7716578830528132,25,False,True,40,38,2
L0_iii.2.5; L1.2.1. M0_ii.2.2; M0_iii.2.3,Yes,Scope misalignment,,,,X,,X,,,,,,,,,X,X,,,,,,,,,,,,,"0,89",,"0,80",,,,,,,,,"0,66","0,66",,,,,,,,,,,,,"0,89",,"0,80",,,,,,,,,"0,65","0,65",,,,,,,,,,,,,"0,78",,"0,80",,,,,,,,,"0,49","0,49",,,,,,,,,,,4.0,"3,00","1,351","3,00","2,56",0.7056263705542132,3.0,4.0,1.351,3.0,2.56,0.7056263705542132,26,True,False,41,38,3
GS.4.11,No,,,X,,,,,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,,,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,,,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,5.0,"3,52","0,880","3,50","2,74",0.6296640504958547,3.52,5.0,0.88,3.5,2.74,0.6296640504958547,27,False,True,42,39,3
GS.9.8,No,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,"0,85",,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,"0,84",,,,,,,,"0,78","0,78",,,,,,,,,,,,,,,,"0,68",,,,,,,3.0,"2,63","1,298","2,62","2,23",0.5921564854493422,2.63,3.0,1.298,2.62,2.23,0.5921564854493422,28,False,True,43,40,3
GS.5.6,No,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,"0,85",,"0,60",,,,,,,,,,"0,74","0,74",,,,,,,,,,,,"0,84",,"0,60",,,,,,,,,,"0,49","0,49",,,,,,,,,,,,"0,68",,"0,60",,,4.0,"2,97","1,834","2,92","2,26",0.5356052492775044,2.97,4.0,1.834,2.92,2.26,0.5356052492775044,29,False,True,44,41,3
GS.10.6,No,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,"0,66",,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,"0,65",,,,,,,,,,,,,,,"0,78",,,"0,89",,,,,,,"0,49",,,,,,,,,,,,,3.0,"2,44","1,279","2,43","2,16",0.4108344893557071,2.44,3.0,1.279,2.43,2.16,0.4108344893557071,30,False,True,45,42,3
GS.4.16,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",0.409483369068248,3.04,4.0,0.759,2.96,1.97,0.409483369068248,31,False,True,46,43,3
GS.4.17,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",0.409483369068248,3.04,4.0,0.759,2.96,1.97,0.409483369068248,31,False,True,47,44,3
GS.4.15,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",0.409483369068248,3.04,4.0,0.759,2.96,1.97,0.409483369068248,31,False,True,48,45,3
L1.3.4; Q1.3.9; Q2.3.5,Yes,Template drift,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,3.0,"2,27","2,274","2,27","2,27",0.2727557856874782,2.27,3.0,2.274,2.27,2.27,0.2727557856874782,32,True,False,49,45,4
GS.4.19,No,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,,,3.0,"2,56","2,564","2,53","2,03",0.21136277912518223,2.56,3.0,2.564,2.53,2.03,0.21136277912518223,33,False,True,50,46,4
L0_ii.2.1; L0_iii.2.2,Yes,Scope misalignment,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,,,"0,78","0,78",,,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",0.16864380629073183,1.77,2.0,0.443,1.77,1.55,0.16864380629073183,34,True,False,51,46,5
L0.5.4; L0_iv.5.3,Yes,Responsibility leakage,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,,"0,78",,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",0.16864380629073183,1.77,2.0,0.443,1.77,1.55,0.16864380629073183,34,True,False,52,46,6
GS.7.4,No,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,,"0,78",,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",0.16864380629073183,1.77,2.0,0.443,1.77,1.55,0.16864380629073183,34,False,True,53,47,6
M0.2.1; M0_ii.2.1; M0_iii.2.1,Yes,Scope misalignment,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,"0,66","0,66","0,66",,,"0,61",,,,,,,,,,,,,,,,,,,,"0,65","0,65","0,65",,,"0,61",,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49",,,"0,61",,,,,,,,4.0,"2,58","1,100","2,57","2,08",0.09260876473484758,2.58,4.0,1.1,2.57,2.08,0.09260876473484758,35,True,False,54,47,7
GS.4.18,No,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,"0,76",,"0,72",,,"0,66",,,,,,,,,,,,,,,,,,,,"0,74",,"0,72",,,"0,65",,,,,,,,,,,,,,,,,,,,"0,49",,"0,72",,,"0,49",,,,,,,,,,,3.0,"2,14","1,078","2,12","1,71",0.07183094612179826,2.14,3.0,1.078,2.12,1.71,0.07183094612179826,36,False,True,55,48,7
L0_iii.7.8; Q0_iii.7.4,Yes,Template drift,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,"0,89",,,,,,"0,76",,,,,,,,,,,,,,,,,,,"0,89",,,,,,"0,74",,,,,,,,,,,,,,,,,,,"0,78",,,,,,"0,49",,,,,,,,,,,,,,,,,2.0,"1,65","0,411","1,63","1,27",0.0633010281294985,1.65,2.0,0.411,1.63,1.27,0.0633010281294985,37,True,False,56,48,8
GS.2.3,No,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,"0,89",,,,,,,,,,,,,,,"0,66",,,,,,,,,,"0,89",,,,,,,,,,,,,,,"0,65",,,,,,,,,,"0,78",,,,,,,,,,,,,,,"0,49",,,,,,,,,,2.0,"1,54","0,386","1,54","1,27",0.04017590892065364,1.54,2.0,0.386,1.54,1.27,0.04017590892065364,38,False,True,57,49,8
L0_iii.7.5; M0_ii.7.4,Yes,Contextual misfit,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,"0,89",,,,,,,,,,,"0,66",,,,,,,,,,,,,,"0,89",,,,,,,,,,,"0,65",,,,,,,,,,,,,,"0,78",,,,,,,,,,,"0,49",,,,,,,,,,,,2.0,"1,54","0,386","1,54","1,27",0.04017590892065364,1.54,2.0,0.386,1.54,1.27,0.04017590892065364,38,True,False,58,49,9
G1.3.5; G2.3.5,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,60","0,74",,2.0,"1,34","1,337","1,34","1,34",0.03609329819628724,1.34,2.0,1.337,1.34,1.34,0.03609329819628724,39,True,False,59,49,10
GS.6.4,No,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85",,,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84",,,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68",,,,,2.0,"1,71","1,709","1,68","1,35",0.03609329819628724,1.71,2.0,1.709,1.68,1.35,0.03609329819628724,39,False,True,60,50,10
M0_ii.8.3; M1.8.2; M2.8.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3.0,"2,01","1,521","2,01","1,85",0.028833984924454867,2.01,3.0,1.521,2.01,1.85,0.028833984924454867,40,True,False,61,50,11
M0_ii.8.4; M1.8.3; M2.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3.0,"2,01","1,521","2,01","1,85",0.028833984924454867,2.01,3.0,1.521,2.01,1.85,0.028833984924454867,40,True,False,62,50,12
Q0_iv.4.4; Q2.4.1,Yes,Scope misalignment,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,76",,"0,72",,,,,,,,,,,,,,,,,,,,,,,"0,74",,"0,72",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,72",,,,,,,,,,,,,,2.0,"1,48","0,914","1,46","1,22",0.022017562481997714,1.48,2.0,0.914,1.46,1.22,0.022017562481997714,41,True,False,63,50,13
Q0.10.4; Q1.10.4,Yes,Template drift,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,"0,76",,,,"0,75",,,,,,,,,,,,,,,,,,,,,"0,74",,,,"0,75",,,,,,,,,,,,,,,,,,,,,"0,49",,,,"0,75",,,,,,,,,,,,,,,2.0,"1,51","0,940","1,49","1,24",0.022017562481997714,1.51,2.0,0.94,1.49,1.24,0.022017562481997714,41,True,False,64,50,14
GS.4.6,No,,H.4.6,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,76",,"0,76",,,,,,,,,,,,,,,,,,,,,,,"0,74",,"0,74",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,,,,,,2.0,"1,52","0,379","1,48","0,98",0.022017562481997714,1.52,2.0,0.379,1.48,0.98,0.022017562481997714,41,False,True,65,51,14
Q0_ii.10.4; Q0_iii.10.3,Yes,Template drift,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,,,,,,,,,,,,,"0,74","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,,,,,,2.0,"1,52","0,379","1,48","0,98",0.022017562481997714,1.52,2.0,0.379,1.48,0.98,0.022017562481997714,41,True,False,66,51,15
Q0_iii.2.4; M0_ii.2.4,Yes,Scope misalignment,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,"0,76",,,,,"0,66",,,,,,,,,,,,,,,,,,,,"0,74",,,,,"0,65",,,,,,,,,,,,,,,,,,,,"0,49",,,,,"0,49",,,,,,,,,,,,2.0,"1,42","0,354","1,39","0,98",0.01375268075128478,1.42,2.0,0.354,1.39,0.98,0.01375268075128478,42,True,False,67,51,16
L2.1.2,Yes,Scope misalignment,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,True,False,68,51,17
GS.2.2,No,,H.2.2,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,False,True,69,52,17
L1.1.3,Yes,Scope misalignment,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,43,True,False,70,52,18
L0_ii.2.3,Yes,Scope misalignment,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,True,False,71,52,19
L0_iv.10.5,Yes,Template drift,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,True,False,72,52,20
GS.9.5,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,False,True,73,53,20
L1.10.2,Yes,Template drift,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,43,True,False,74,53,21
GS.10.4,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,False,True,75,54,21
GS.7.7,No,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,43,False,True,76,55,21
GS.7.8,No,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,43,False,True,77,56,21
L0_ii.6.2,Yes,Template drift,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,True,False,78,56,22
L0_ii.7.2,Yes,Template drift,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,True,False,79,56,23
GS.4.14,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,False,True,80,57,23
GS.4.9,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,False,True,81,58,23
L0_iii.8.5,Yes,Template drift,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,True,False,82,58,24
L2.10.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,True,False,83,58,25
GS.10.7,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,False,True,84,59,25
GS.7.9,No,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,False,True,85,60,25
GS.5.4,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,False,True,86,61,25
L0_iii.7.2,Yes,Contextual misfit,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,43,True,False,87,61,26
L2.3.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,43,True,False,88,61,27
M0_ii.3.3; M0_iv.3.3,Yes,Scope misalignment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,44,True,False,89,61,28
