#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,WOPT_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.6.1,No,,H.6.1,X,X,P,P,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24.0,"18,49","11,582","18,36","15,59",1.0,18.49,24.0,11.582,18.36,15.59,1.0,1.0,1,False,True,1,1,0
GS.1.1,No,,H.1.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24.0,"18,49","11,582","18,36","15,59",1.0,18.49,24.0,11.582,18.36,15.59,1.0,1.0,1,False,True,2,2,0
GS.5.1,No,,H.5.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24.0,"18,49","11,582","18,36","15,59",1.0,18.49,24.0,11.582,18.36,15.59,1.0,1.0,1,False,True,3,3,0
GS.7.1,No,,H.7.1,X,X,X,X,X,X,P,P,P,P,P,P,P,P,P,P,P,P,X,X,X,X,X,P,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24.0,"18,49","11,582","18,36","15,59",1.0,18.49,24.0,11.582,18.36,15.59,1.0,1.0,1,False,True,4,4,0
GS.8.1,No,,H.8.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24.0,"18,49","11,582","18,36","15,59",1.0,18.49,24.0,11.582,18.36,15.59,1.0,1.0,1,False,True,5,5,0
GS.3.1,No,,H.3.1,P,P,P,P,P,P,P,X,X,P,P,P,P,,P,P,P,P,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66",,"0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65",,"0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49",,"0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,23.0,"17,84","11,418","17,70","15,10",1.0,17.84,23.0,11.418,17.7,15.1,1.0,0.9887887588622193,2,False,True,6,6,0
GS.9.1,No,,H.9.1,X,X,X,X,X,X,X,X,X,X,P,,X,X,P,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75",,"0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75",,"0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75",,"0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,23.0,"17,77","10,858","17,63","14,87",1.0,17.77,23.0,10.858,17.63,14.87,1.0,0.9632057743230547,3,False,True,7,7,0
GS.4.7,No,,H.4.7,P,P,P,P,P,P,X,X,X,X,X,P,X,X,X,X,X,X,,X,X,P,P,P,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61",,"0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61",,"0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61",,"0,68","0,68","0,68","0,60","0,74",,23.0,"17,64","10,728","17,51","14,92",1.0,17.64,23.0,10.728,17.51,14.92,1.0,0.9583368924575042,4,False,True,8,8,0
GS.9.3,No,,H.9.3,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80",,"0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80",,"0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80",,"0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,23.0,"17,60","10,690","17,46","14,70",1.0,17.6,23.0,10.69,17.46,14.7,1.0,0.9456094644229949,5,False,True,9,9,0
GS.2.1,No,,H.2.1,X,X,X,X,P,X,P,X,X,P,X,X,,,,X,X,,P,X,X,P,X,P,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72",,,,"0,66","0,75",,"0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72",,,,"0,65","0,75",,"0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72",,,,"0,49","0,75",,"0,68","0,68","0,68","0,68","0,60","0,74",,20.0,"15,91","10,483","15,79","13,52",1.0,15.91,20.0,10.483,15.79,13.52,1.0,0.8983727684291452,6,False,True,10,10,0
GS.5.2,No,,H.5.2,P,P,P,P,,,X,X,X,X,X,,,,,,,,X,X,X,X,,X,,"0,89","0,89","0,89","0,89",,,"0,76","0,76","0,76","0,76","0,75",,,,,,,,"0,85","0,85","0,85","0,85",,"0,74",,"0,89","0,89","0,89","0,89",,,"0,74","0,74","0,74","0,74","0,75",,,,,,,,"0,84","0,84","0,84","0,84",,"0,74",,"0,78","0,78","0,78","0,78",,,"0,49","0,49","0,49","0,49","0,75",,,,,,,,"0,68","0,68","0,68","0,68",,"0,74",,14.0,"11,49","6,551","11,37","9,26",0.9999999998204068,11.49,14.0,6.551,11.37,9.26,0.9999999998204068,0.6684889382420774,7,False,True,11,11,0
GS.4.1,No,,H.4.1,X,X,X,P,X,X,X,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,13.0,"10,36","5,419","10,28","8,84",0.9999999989713046,10.36,13.0,5.419,10.28,8.84,0.9999999989713046,0.6537541641752799,8,False,True,12,12,0
GS.7.2,No,,H.7.2,,X,X,X,X,X,,,,,,X,P,,,P,P,P,X,X,X,X,,,,,"0,89","0,89","0,89","0,80","0,89",,,,,,"0,72","0,66",,,"0,66","0,75","0,61","0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89","0,80","0,89",,,,,,"0,72","0,65",,,"0,65","0,75","0,61","0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78","0,80","0,89",,,,,,"0,72","0,49",,,"0,49","0,75","0,61","0,68","0,68","0,68","0,68",,,,14.0,"11,17","8,186","11,11","9,78",0.9999999994757438,11.17,14.0,8.186,11.11,9.78,0.9999999994757438,0.6359229520799523,9,False,True,13,13,0
GS.4.5,No,,H.4.5,X,X,X,P,X,X,X,,P,P,,P,,,,,P,P,,,,,X,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76",,"0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74",,"0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49",,"0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,13.0,"10,20","5,829","10,14","8,95",0.9999999992023554,10.2,13.0,5.829,10.14,8.95,0.9999999992023554,0.6282993081062612,10,False,True,14,14,0
GS.10.2,No,,H.10.2,X,P,X,X,X,,,,,,,X,X,X,X,,,X,P,P,P,P,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,"0,72","0,66","0,66","0,66",,,"0,61","0,85","0,85","0,85","0,85",,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,"0,72","0,65","0,65","0,65",,,"0,61","0,84","0,84","0,84","0,84",,,,"0,78","0,78","0,78","0,78","0,80",,,,,,,"0,72","0,49","0,49","0,49",,,"0,61","0,68","0,68","0,68","0,68",,,,14.0,"11,07","6,929","11,01","9,41",0.9999999994757438,11.07,14.0,6.929,11.01,9.41,0.9999999994757438,0.6251815153327069,11,False,True,15,15,0
GS.4.3,No,,H.4.3,X,X,X,P,,X,P,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,12.0,"9,56","4,619","9,48","8,04",0.9999999828626899,9.56,12.0,4.619,9.48,8.04,0.9999999828626899,0.6049799265396771,12,False,True,16,16,0
GS.4.2,No,,H.4.2,X,X,X,P,X,X,,P,P,P,,,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,76","0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,74","0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,"0,49","0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,11.0,"8,87","4,505","8,82","7,63",0.9999999683150455,8.87,11.0,4.505,8.82,7.63,0.9999999683150455,0.5844153070812336,13,False,True,17,17,0
GS.10.1,No,,H.10.1,,,,,X,P,,X,X,X,,,X,X,X,X,X,X,,X,,X,,X,,,,,,"0,80","0,89",,"0,76","0,76","0,76",,,"0,66","0,66","0,66","0,66","0,75","0,61",,"0,85",,"0,85",,"0,74",,,,,,"0,80","0,89",,"0,74","0,74","0,74",,,"0,65","0,65","0,65","0,65","0,75","0,61",,"0,84",,"0,84",,"0,74",,,,,,"0,80","0,89",,"0,49","0,49","0,49",,,"0,49","0,49","0,49","0,49","0,75","0,61",,"0,68",,"0,68",,"0,74",,14.0,"10,40","6,722","10,31","8,57",0.9999999523337639,10.4,14.0,6.722,10.31,8.57,0.9999999523337639,0.5269923977107713,14,False,True,18,18,0
GS.7.3,No,,H.7.3,,,X,X,,X,X,X,X,X,,,,,,,X,,X,,X,X,,,,,,"0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,,,,,,"0,75",,"0,85",,"0,85","0,85",,,,,,"0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,,,,,,"0,75",,"0,84",,"0,84","0,84",,,,,,"0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,,,,,,"0,75",,"0,68",,"0,68","0,68",,,,11.0,"9,02","5,409","8,91","7,19",0.9999997525406443,9.02,11.0,5.409,8.91,7.19,0.9999997525406443,0.5241522166225335,15,False,True,19,19,0
GS.10.3,No,,H.10.3,X,,,X,,X,X,,,,X,X,P,P,,,,,X,,,X,X,X,,"0,89",,,"0,89",,"0,89","0,76",,,,"0,75","0,72","0,66","0,66",,,,,"0,85",,,"0,85","0,60","0,74",,"0,89",,,"0,89",,"0,89","0,74",,,,"0,75","0,72","0,65","0,65",,,,,"0,84",,,"0,84","0,60","0,74",,"0,78",,,"0,78",,"0,89","0,49",,,,"0,75","0,72","0,49","0,49",,,,,"0,68",,,"0,68","0,60","0,74",,12.0,"9,26","6,375","9,21","8,08",0.9999999441811427,9.26,12.0,6.375,9.21,8.08,0.9999999441811427,0.4848381310327155,16,False,True,20,20,0
GS.3.2,No,,H.3.2,X,X,P,P,P,,,,,,X,X,,,,,,,,,,X,P,,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,85","0,60",,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,84","0,60",,,"0,78","0,78","0,78","0,78","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,68","0,60",,,9.0,"7,28","4,616","7,27","6,65",0.999999324283368,7.28,9.0,4.616,7.27,6.65,0.999999324283368,0.4466985564192364,17,False,True,21,21,0
GS.10.5,No,,,,X,X,X,,X,,,,,X,,,,,,,,X,X,X,X,,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78",,"0,89",,,,,"0,75",,,,,,,,"0,68","0,68","0,68","0,68",,,,9.0,"7,72","5,727","7,67","6,67",0.9999987804951769,7.72,9.0,5.727,7.67,6.67,0.9999987804951769,0.4377295635090117,18,False,True,22,22,0
L0.3.3; L0_ii.3.2; L1.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; Q1.3.7; Q2.3.1; M0_ii.3.1; M0_iii.3.1,Yes,Scope misalignment,,X,X,,,X,,,X,X,X,X,X,,X,X,,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,76","0,76","0,76","0,75","0,72",,"0,66","0,66",,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,74","0,74","0,74","0,75","0,72",,"0,65","0,65",,,,,,,,,,,"0,78","0,78",,,"0,80",,,"0,49","0,49","0,49","0,75","0,72",,"0,49","0,49",,,,,,,,,,,10.0,"7,64","3,616","7,58","6,28",0.9999952438927784,7.64,10.0,3.616,7.58,6.28,0.9999952438927784,0.4277141880925942,19,True,False,23,22,1
GS.5.3,No,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,,,,,,,,,,,,,,,,,,,6.0,"5,24","2,580","5,24","4,80",0.9999360019287525,5.24,6.0,2.58,5.24,4.8,0.9999360019287525,0.375864867173486,20,False,True,24,23,1
GS.4.8,No,,H.4.8,P,,,,,,P,P,P,P,,,,,,,,X,P,P,,,,,,"0,89",,,,,,"0,76","0,76","0,76","0,76",,,,,,,,"0,61","0,85","0,85",,,,,,"0,89",,,,,,"0,74","0,74","0,74","0,74",,,,,,,,"0,61","0,84","0,84",,,,,,"0,78",,,,,,"0,49","0,49","0,49","0,49",,,,,,,,"0,61","0,68","0,68",,,,,,8.0,"6,24","3,296","6,14","4,70",0.9995086836009361,6.24,8.0,3.296,6.14,4.7,0.9995086836009361,0.3690954130007688,21,False,True,25,24,1
