GS.#,H.#,L0.#.#,L0_ii.#.#,L0_iii.#.#,L0_iv.#.#,L1.#.#,L2.#.#,L3.#.#,L4.#.#,L5.#.#,Q0.#.#,Q0_ii.#.#,Q0_iii.#.#,Q0_iv.#.#,Q1.#.#,Q2.#.#,M0.#.#,M0_ii.#.#,M0_iii.#.#,M0_iv.#.#,M1.#.#,M2.#.#,G0.#.#,G0_ii.#.#,G0_iii.#.#,G0_iv.#.#,G1.#.#,G2.#.#
GS.5.6,None,None,None,None,None,None,None,None,L4.5.1,L5.5.2,None,Q0_ii.5.2,Q0_iii.5.2,None,None,None,None,None,None,None,None,None,None,None,G0_iii.5.3,None,G1.5.3,None
GS.6.1,H.6.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.6.2,None,L0.6.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.6.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,M0.6.2,None,None,None,None,None,None,None,None,None,None,None
GS.6.4,None,None,None,None,None,None,None,L3.6.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,G0.6.2,None,G0_iii.6.2,None,None,None
GS.7.1,H.7.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.2,H.7.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.3,H.7.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.4,None,L0.7.2,None,None,L0_iv.7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.5,None,L0.7.3,None,None,None,None,L2.7.3,L3.7.8,None,L5.7.2,None,None,None,None,None,None,M0.7.1,M0_ii.7.2,None,None,M1.7.1,M2.7.2,None,None,None,None,None,None
GS.7.6,None,L0.7.4,None,L0_iii.7.6,L0_iv.7.2,None,None,L3.7.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.7,None,None,None,None,None,L1.7.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.8,None,None,None,None,None,L1.7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.9,None,None,None,L0_iii.7.6,None,None,None,L3.7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.10,None,None,None,None,None,None,None,L3.7.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.7.11,None,None,None,None,None,None,None,None,L4.7.1,L5.7.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.8.1,H.8.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.8.2,None,L0.8.2,L0_ii_8.1,L0_iii.8.3,L0_iv.8.2,None,None,L3.8.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.8.3,None,None,None,None,None,None,None,L3.8.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.1,H.9.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.2,H.9.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.3,H.9.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.4,None,L0.9.4,L0_ii.9.1,L0_iii.9.2,L0_iv.9.1,None,None,L3.9.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.5,None,None,None,None,None,None,L2.9.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.6,None,None,None,None,None,None,None,L3.9.11,None,L5.9.5,None,None,None,None,None,Q2.9.1,None,None,None,None,None,M2.9.2,G0.9.2,G0_ii.9.1,None,None,None,None
GS.9.7,None,None,None,None,None,None,None,L3.9.7,None,None,None,None,None,None,None,Q2.9.5,None,None,None,None,None,None,None,None,None,None,None,None
GS.9.8,None,None,L0_ii.9.3,L0_iii.9.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,G0.9.3,None,None,None,None,None
GS.10.1,H.10.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.10.2,H.10.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.10.3,H.10.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.10.4,None,L0.10.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.10.5,None,None,L0_ii.10.3,L0_iii.10.5,L0_iv.10.2,None,L2.10.3p,L3.10.4,None,None,None,None,None,None,Q1.10.2,None,None,None,None,None,None,None,G0.10.2,G0_ii.10.2,G0_iii.10.4,G0_iv.10.4,None,None
GS.10.6,None,None,None,L0_iii.10.5,None,None,L2.10.3p,None,None,None,None,None,None,None,None,None,M0.10.3p,None,None,None,None,None,None,None,None,None,None,None
GS.10.7,None,None,None,None,None,None,L2.10.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.10.8,None,None,None,None,None,None,None,None,None,L5.10.3,None,None,None,None,None,Q2.10.3,None,None,None,None,None,None,None,None,None,None,None,None
GS.10.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,M0.10.3p,None,None,None,None,None,None,None,None,None,None,None
GS.10.10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,M0.10.5,None,None,None,None,None,None,None,None,None,None,None
GS.10.11,None,L0.10.1,L0_ii.10.2; L0_ii.10.3; L0_ii.10.4; L0_ii.10.5; L0_ii.10.6,L0_iii.10.1,L0_iv.10.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
