M1.#,H.#
M1.1.1,H.1.1
M1.2.1,H.2.1
M1.2.2,H.2.1
M1.2.3,H.2.1
M1.2.4,H.2.1
M1.3.1,H.3.1
M1.3.2,H.3.1
M1.3.3,H.3.1
M1.3.4,None
M1.3.5,None
M1.4.1,H.4.1
M1.4.1,H.4.2
M1.4.1,H.4.3
M1.4.1,H.4.4
M1.4.1,H.4.5
M1.4.1,H.4.7
M1.4.2,H.4.1
M1.4.2,H.4.2
M1.4.2,H.4.3
M1.4.2,H.4.4
M1.4.2,H.4.5
M1.4.2,H.4.7
M1.4.3,H.4.1
M1.4.3,H.4.2
M1.4.3,H.4.3
M1.4.3,H.4.4
M1.4.3,H.4.5
M1.4.3,H.4.7
M1.4.4,H.4.1
M1.4.4,H.4.2
M1.4.4,H.4.3
M1.4.4,H.4.4
M1.4.4,H.4.5
M1.4.4,H.4.7
M1.5.1,H.5.1
M1.5.2,H.5.1
M1.6.1,H.6.1
M1.7.1,None
M1.7.2,H.7.1
M1.7.2,H.7.2
M1.7.3,H.7.1
M1.7.3,H.7.2
M1.7.4,H.7.3
M1.8.1,H.8.1
M1.8.2,None
M1.8.3,None
M1.8.4,None
M1.9.1,H.9.1
M1.9.1,H.9.3
M1.9.2,H.9.1
M1.9.2,H.9.3
M1.9.3,H.9.1
M1.9.3,H.9.3
M1.10.1,H.10.1
M1.10.2,None
M1.10.3,None
M1.10.4,None
M1.10.5,None
