G0.#,H.#
G0.1.1,H.1.1
G0.2.1,H.2.1
G0.2.2,None
G0.2.3,H.2.1
G0.3.1,H.3.1
G0.3.1,H.3.3
G0.4.1,None
G0.4.2,None
G0.4.3,None
G0.5.1,H.5.1
G0.5.2,H.5.2
G0.6.1,H.6.1
G0.6.2,None
G0.6.3,None
G0.7.1,H.7.1
G0.7.2,H.7.2
G0.7.2,H.7.3
G0.8.1,H.8.1
G0.9.1,H.9.3
G0.9.2,None
G0.9.3,None
G0.9.4,H.9.1
G0.10.1,None
G0.10.2,H.10.2
G0.10.3,H.10.3
