L2.#,H.#
L2.1.1,H.1.1
L2.1.2,None
L2.2.1,H.2.1
L2.2.2,H.2.1
L2.2.3,H.2.1
L2.2.4,H.2.1
L2.3.1,H.3.1
L2.3.2,None
L2.4.1,H.4.1
L2.4.1,H.4.5
L2.4.2,H.4.5
L2.4.3,H.4.3
L2.4.4,None
L2.4.5,H.4.2
L2.5.1,H.5.1
L2.5.2,None
L2.5.3,None
L2.5.4,H.5.1
L2.6.1,H.6.1
L2.7.1,H.7.1
L2.7.2,H.7.1
L2.7.3,None
L2.7.4,H.7.2
L2.7.5,H.7.3
L2.8.1,H.8.1
L2.8.2,H.8.1
L2.9.1,H.9.1
L2.9.2,H.9.1
L2.9.3,None
L2.10.1,H.10.1
L2.10.2,None
L2.10.3,None
L2.10.4,H.10.1
L2.10.5,H.10.3
