Comparison,Inc_Intersec,Inc_Union,Inc_Jindex,Exc_Intersec,Exc_Union,Exc_Jindex
M0_i vs M0_ii,17,42,0.405,15,23,0.652
M0_i vs M0_iii,17,37,0.459,14,24,0.583
M0_i vs M0_iv,15,37,0.405,15,25,0.600
M0_ii vs M0_iii,16,39,0.410,13,17,0.765
M0_ii vs M0_iv,14,39,0.359,12,20,0.600
M0_iii vs M0_iv,13,35,0.371,13,19,0.684
Mean (a),,,0.402,,,0.647
Mean (g),,,0.400,,,0.644
