Comparison,Inc_Intersec,Inc_Union,Inc_Jindex,Exc_Intersec,Exc_Union,Exc_Jindex
L0_* vs Q0_*,23,95,0.242,21,54,0.389
L0_* vs M0_*,23,88,0.261,20,51,0.392
L0_* vs G0_*,21,75,0.280,20,52,0.385
Q0_* vs M0_*,16,97,0.165,14,42,0.333
Q0_* vs G0_*,18,80,0.182,18,39,0.462
M0_* vs G0_*,14,77,0.182,14,39,0.359
Mean (a),,,0.219,,,0.387
Mean (g),,,0.214,,,0.385
