Comparison,Inc_Intersec,Inc_Union,Inc_Jindex,Exc_Intersec,Exc_Union,Exc_Jindex
L3_i vs L3_ii,27,43,0.628,26,33,0.788
L3_i vs L3_iii,27,49,0.551,25,33,0.758
L3_i vs L3_iv,27,52,0.519,25,37,0.676
L3_ii vs L3_iii,28,48,0.583,25,34,0.735
L3_ii vs L3_iv,30,49,0.612,27,36,0.750
L3_iii vs L3_iv,28,57,0.491,25,37,0.676
Mean (a),,,0.564,,,0.730
Mean (g),,,0.562,,,0.729
