Comparison,Inc_Intersec,Inc_Union,Inc_Jindex,Exc_Intersec,Exc_Union,Exc_Jindex
L0_i vs L0_ii,25,46,0.543,24,40,0.600
L0_i vs L0_iii,25,52,0.481,25,44,0.568
L0_i vs L0_iv,28,43,0.651,27,39,0.692
L0_ii vs L0_iii,28,44,0.636,27,34,0.794
L0_ii vs L0_iv,26,40,0.650,26,32,0.813
L0_iii vs L0_iv,28,44,0.636,28,35,0.800
Mean (a),,,0.600,,,0.711
Mean (g),,,0.596,,,0.704
