Q2.#,H.#
Q2.1.1,H.1.1
Q2.2.1,H.2.1
Q2.2.2,H.2.1
Q2.3.1,None
Q2.3.2,H.3.2
Q2.3.3,H.3.1
Q2.3.4,None
Q2.3.5,None
Q2.4.1,None
Q2.4.2,None
Q2.4.3,H.4.1
Q2.4.3,H.4.3
Q2.4.3,H.4.5
Q2.4.4,None
Q2.4.5,H.4.7
Q2.5.1,H.5.1
Q2.6.1,H.6.1
Q2.7.1,H.7.1
Q2.7.1,H.7.2
Q2.8.1,H.8.1
Q2.9.1,None
Q2.9.2,None
Q2.9.3,H.9.3
Q2.9.4,H.9.3
Q2.9.5,None
Q2.9.6,None
Q2.10.1,H.10.3
Q2.10.2,H.10.2
Q2.10.3,None
Q2.10.4,None
Q2.10.5,None
