H.#,L2.#
H.1.1,L2.1.1
H.1.2,None
H.2.1,L2.2.1
H.2.1,L2.2.2
H.2.1,L2.2.3
H.2.1,L2.2.4
H.2.2,None
H.3.1,L2.3.1
H.3.2,None
H.3.3,None
H.3.4,None
H.3.5,None
H.4.1,L2.4.1
H.4.2,L2.4.5
H.4.3,L2.4.3
H.4.4,None
H.4.5,L2.4.2
H.4.6,None
H.4.7,L2.4.1
H.4.8,None
H.5.1,L2.5.1
H.5.1,L2.5.4
H.5.2,None
H.6.1,L2.6.1
H.7.1,L2.7.1
H.7.1,L2.7.2
H.7.2,L2.7.4
H.7.3,L2.7.5
H.8.1,L2.8.1
H.8.1,L2.8.2
H.9.1,L2.9.1
H.9.1,L2.9.2
H.9.2,None
H.9.3,None
H.10.1,L2.10.4
H.10.2,None
H.10.3,L2.10.5
