H.#,Q2.#
H.1.1,Q2.1.1
H.1.2,None
H.2.1,Q2.2.1
H.2.1,Q2.2.2
H.2.2,None
H.3.1,Q2.3.3
H.3.2,Q2.3.2
H.3.3,None
H.3.4,None
H.3.5,None
H.4.1,Q2.4.3
H.4.2,None
H.4.3,Q2.4.3
H.4.4,None
H.4.5,Q2.4.3
H.4.6,None
H.4.7,Q2.4.5
H.4.8,None
H.5.1,Q2.5.1
H.5.2,None
H.6.1,Q2.6.1
H.7.1,Q2.7.1
H.7.2,Q2.7.1
H.7.3,None
H.8.1,Q2.8.1
H.9.1,None
H.9.2,None
H.9.3,Q2.9.3
H.9.3,Q2.9.4
H.10.1,None
H.10.2,Q2.10.2
H.10.3,Q2.10.1
