System,label,AveP,AveP_det,bPref,bPref_det,bPref_best,bPref_worst,avgF1,maxF1,avgF2,maxF2,k*,F1@k*,P@k*,R@k*,n_ranked_items,total_requirements
E1,Prec. Macro ranking,0.8160172599280316,0.8159507008031842,0.740391274238227,0.7415166204986147,0.7501731301939053,0.7306094182825484,0.5873091190126518,0.7391304347826086,0.6233922255516969,0.7739307535641547,62,0.7391304347826086,0.8225806451612904,0.6710526315789473,187,76
E2,Support ranking,0.7925897595501243,0.7939336681903801,0.7020489757134577,0.700484764542936,0.8166551246537386,0.6473337950138498,0.5692004332901058,0.734375,0.603036249795305,0.7739307535641547,52,0.734375,0.9038461538461539,0.618421052631579,187,76
E3,Prec. Macro Balanced ranking,0.7587769220405383,0.7580670779693304,0.6744494459833797,0.6734764542936292,0.6802285318559562,0.6689750692520778,0.5573108727330852,0.6808510638297872,0.5935624791251957,0.7739307535641547,65,0.6808510638297872,0.7384615384615385,0.631578947368421,187,76
E4,Prec. Micro A ranking,0.8160413109409944,0.8156532390148955,0.7431805940289319,0.7437673130193904,0.7531163434903041,0.7335526315789472,0.5878247415751338,0.734375,0.6241274363218027,0.7739307535641547,52,0.734375,0.9038461538461539,0.618421052631579,187,76
E5,Prec. Micro B ranking,0.817228031347763,0.81660185021852,0.7556814039947511,0.7553670360110799,0.7635041551246535,0.7491343490304707,0.5895845263436199,0.7272727272727273,0.6261547103588145,0.7812500000000001,56,0.7272727272727273,0.8571428571428571,0.631578947368421,187,76
E6,Optimal numeric ranking,0.849401915815858,0.8495747913209379,0.7991689750692516,0.7993421052631576,0.8024584487534624,0.7958795013850416,0.6106114788689455,0.7625899280575539,0.648820730225471,0.8068459657701713,63,0.7625899280575539,0.8412698412698413,0.6973684210526315,187,76
