#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Optimal numeric
GS.4.4;No;;H.4.4;X;;;;;;X;;P;P;;;;;;;P;P;;;;;;;;0,89;;;;;;0,76;;0,76;0,76;;;;;;;0,75;0,61;;;;;;;;0,89;;;;;;0,74;;0,74;0,74;;;;;;;0,75;0,61;;;;;;;;0,78;;;;;;0,49;;0,49;0,49;;;;;;;0,75;0,61;;;;;;;;6;4,52;2,147;4,46;3,61;0,276779
GS.4.5;No;;H.4.5;X;X;X;P;X;X;X;;P;P;;P;;;;;P;P;;;;;X;;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;;0,76;0,76;;0,72;;;;;0,75;0,61;;;;;0,60;;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;;0,74;0,74;;0,72;;;;;0,75;0,61;;;;;0,60;;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;;0,49;0,49;;0,72;;;;;0,75;0,61;;;;;0,60;;;13;10,20;5,829;10,14;8,95;0,628299
GS.4.6;No;;H.4.6;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,76;;0,76;;;;;;;;;;;;;;;;;;;;;;;0,74;;0,74;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;;;;;;2;1,52;0,379;1,48;0,98;0,104788
GS.4.7;No;;H.4.7;P;P;P;P;P;P;X;X;X;X;X;P;X;X;X;X;X;X;;X;X;P;P;P;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;;0,68;0,68;0,68;0,60;0,74;;23;17,64;10,728;17,51;14,92;0,958337
GS.4.8;No;;H.4.8;P;;;;;;P;P;P;P;;;;;;;;X;P;P;;;;;;0,89;;;;;;0,76;0,76;0,76;0,76;;;;;;;;0,61;0,85;0,85;;;;;;0,89;;;;;;0,74;0,74;0,74;0,74;;;;;;;;0,61;0,84;0,84;;;;;;0,78;;;;;;0,49;0,49;0,49;0,49;;;;;;;;0,61;0,68;0,68;;;;;;8;6,24;3,296;6,14;4,70;0,369096
GS.4.9;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,082088
GS.4.10;No;;;X;;;;X;;;;;;;;X;X;X;X;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,66;0,66;0,66;0,66;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;0,78;;;;0,80;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;6;4,32;1,680;4,30;3,54;0,236739
GS.4.11;No;;;X;;;;;;;;;;;;X;X;X;X;;;;;;;;;;0,89;;;;;;;;;;;;0,66;0,66;0,66;0,66;;;;;;;;;;0,89;;;;;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;0,78;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;5;3,52;0,880;3,50;2,74;0,187965
GS.4.12;No;;;X;;;;X;;;;;;;;X;X;X;X;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,66;0,66;0,66;0,66;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;0,78;;;;0,80;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;6;4,32;1,680;4,30;3,54;0,236739
GS.4.14;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
GS.4.15;No;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;;;;;;;4;3,04;0,759;2,96;1,97;0,176369
GS.4.16;No;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;;;;;;;4;3,04;0,759;2,96;1,97;0,176369
GS.4.17;No;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;;;;;;;4;3,04;0,759;2,96;1,97;0,176369
GS.4.18;No;;;;;;;;;;;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;0,76;;0,72;;;0,66;;;;;;;;;;;;;;;;;;;;0,74;;0,72;;;0,65;;;;;;;;;;;;;;;;;;;;0,49;;0,72;;;0,49;;;;;;;;;;;3;2,14;1,078;2,12;1,71;0,114504
GS.4.19;No;;;;;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;0,85;;0,85;0,85;;;;;;;;;;;;;;;;;;;;;;0,84;;0,84;0,84;;;;;;;;;;;;;;;;;;;;;;0,68;;0,68;0,68;;;;3;2,56;2,564;2,53;2,03;0,122619
GS.4.20;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
GS.4.21;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
Q0.4.2;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.4.7;Yes;Contextual misfit;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.4.11;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.4.12;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0_ii.4.2;Yes;Template drift;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,046404
Q0_iii.4.3;Yes;Scope misalignment;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
Q0_iii.4.4;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
"Q0_iv.4.4; Q2.4.1";Yes;Scope misalignment;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,76;;0,72;;;;;;;;;;;;;;;;;;;;;;;0,74;;0,72;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,72;;;;;;;;;;;;;;2;1,48;0,914;1,46;1,22;0,095178
Q2.4.2;Yes;Scope misalignment;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,036794
M0_iii.4.2;Yes;Template drift;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,019326
G0.4.1;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;1;0,85;0,855;0,84;0,68;0,041663
G0.4.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;1;0,85;0,855;0,84;0,68;0,041663
G0_iv.4.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;1;0,85;0,855;0,84;0,68;0,040040
G1.4.2;Yes;Contextual misfit;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
G1.4.3;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
GS.5.1;No;;H.5.1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;24;18,49;11,582;18,36;15,59;1,000000
GS.5.2;No;;H.5.2;P;P;P;P;;;X;X;X;X;X;;;;;;;;X;X;X;X;;X;;0,89;0,89;0,89;0,89;;;0,76;0,76;0,76;0,76;0,75;;;;;;;;0,85;0,85;0,85;0,85;;0,74;;0,89;0,89;0,89;0,89;;;0,74;0,74;0,74;0,74;0,75;;;;;;;;0,84;0,84;0,84;0,84;;0,74;;0,78;0,78;0,78;0,78;;;0,49;0,49;0,49;0,49;0,75;;;;;;;;0,68;0,68;0,68;0,68;;0,74;;14;11,49;6,551;11,37;9,26;0,668489
GS.5.3;No;;;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;0,80;0,89;;;;;;;;;;;;;;;;;;;;6;5,24;2,580;5,24;4,80;0,375865
GS.5.4;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
GS.5.5;No;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,66;;;0,66;;;;;;;;;;;;;;;;;;;;;;0,65;;;0,65;;;;;;;;;;;;;;;;;;;;;;0,49;;;0,49;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,075340
GS.5.6;No;;;;;;;;;;X;X;;;;;;;;;;;;X;;X;;;;;;;;;;0,76;0,76;;;;;;;;;;;;0,85;;0,60;;;;;;;;;;0,74;0,74;;;;;;;;;;;;0,84;;0,60;;;;;;;;;;0,49;0,49;;;;;;;;;;;;0,68;;0,60;;;4;2,97;1,834;2,92;2,26;0,147305
"L0.5.4; L0_iv.5.3";Yes;Responsibility leakage;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;;;0,78;;;;;;;;;;;;;;;;;;;;;;2;1,77;0,443;1,77;1,55;0,148330
"M0.5.3; M0_iii.5.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,064107
G0_iv.5.1;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;1;0,85;0,855;0,84;0,68;0,040040
G0_iv.5.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;1;0,85;0,855;0,84;0,68;0,040040
G1.5.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;1;0,60;0,600;0,60;0,60;0,020949
GS.6.1;No;;H.6.1;X;X;P;P;X;X;X;X;X;X;X;X;X;X;X;X;P;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;24;18,49;11,582;18,36;15,59;1,000000
GS.6.2;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;0,272700
GS.6.3;No;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,044781
GS.6.4;No;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,85;;0,85;;;;;;;;;;;;;;;;;;;;;;;0,84;;0,84;;;;;;;;;;;;;;;;;;;;;;;0,68;;0,68;;;;;2;1,71;1,709;1,68;1,35;0,082579
L0_ii.6.2;Yes;Template drift;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,058256
G0.6.3;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;1;0,85;0,855;0,84;0,68;0,041663
GS.7.1;No;;H.7.1;X;X;X;X;X;X;P;P;P;P;P;P;P;P;P;P;P;P;X;X;X;X;X;P;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;24;18,49;11,582;18,36;15,59;1,000000
GS.7.2;No;;H.7.2;;X;X;X;X;X;;;;;;X;P;;;P;P;P;X;X;X;X;;;;;0,89;0,89;0,89;0,80;0,89;;;;;;0,72;0,66;;;0,66;0,75;0,61;0,85;0,85;0,85;0,85;;;;;0,89;0,89;0,89;0,80;0,89;;;;;;0,72;0,65;;;0,65;0,75;0,61;0,84;0,84;0,84;0,84;;;;;0,78;0,78;0,78;0,80;0,89;;;;;;0,72;0,49;;;0,49;0,75;0,61;0,68;0,68;0,68;0,68;;;;14;11,17;8,186;11,11;9,78;0,635923
GS.7.3;No;;H.7.3;;;X;X;;X;X;X;X;X;;;;;;;X;;X;;X;X;;;;;;0,89;0,89;;0,89;0,76;0,76;0,76;0,76;;;;;;;0,75;;0,85;;0,85;0,85;;;;;;0,89;0,89;;0,89;0,74;0,74;0,74;0,74;;;;;;;0,75;;0,84;;0,84;0,84;;;;;;0,78;0,78;;0,89;0,49;0,49;0,49;0,49;;;;;;;0,75;;0,68;;0,68;0,68;;;;11;9,02;5,409;8,91;7,19;0,524152
GS.7.4;No;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;;;0,78;;;;;;;;;;;;;;;;;;;;;;2;1,77;0,443;1,77;1,55;0,148330
GS.7.5;No;;;X;;;;;X;;;;;;;X;X;;;X;X;;;;;;;;0,89;;;;;0,89;;;;;;;0,66;0,66;;;0,75;0,61;;;;;;;;0,89;;;;;0,89;;;;;;;0,65;0,65;;;0,75;0,61;;;;;;;;0,78;;;;;0,89;;;;;;;0,49;0,49;;;0,75;0,61;;;;;;;;6;4,45;2,800;4,44;4,01;0,257197
GS.7.6;No;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;3;2,66;0,665;2,66;2,33;0,214444
GS.7.7;No;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,048774
GS.7.8;No;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,048774
GS.7.9;No;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,066114
GS.7.10;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
GS.7.11;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
L0_ii.7.2;Yes;Template drift;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,058256
L0_iii.7.2;Yes;Contextual misfit;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,066114
"L0_iii.7.5; M0_ii.7.4";Yes;Contextual misfit;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;0,89;;;;;;;;;;;0,66;;;;;;;;;;;;;;0,89;;;;;;;;;;;0,65;;;;;;;;;;;;;;0,78;;;;;;;;;;;0,49;;;;;;;;;;;;2;1,54;0,386;1,54;1,27;0,077325
"L0_iii.7.8; Q0_iii.7.4";Yes;Template drift;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;0,89;;;;;;0,76;;;;;;;;;;;;;;;;;;;0,89;;;;;;0,74;;;;;;;;;;;;;;;;;;;0,78;;;;;;0,49;;;;;;;;;;;;;;;;;2;1,65;0,411;1,63;1,27;0,105150
Q0_iii.7.2;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
M0_ii.7.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,011211
M0_ii.7.5;Yes;Contextual misfit;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,011211
M0_iv.7.3;Yes;Contextual misfit;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,030559
M0_iv.7.5;Yes;Contextual misfit;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,030559
GS.8.1;No;;H.8.1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;24;18,49;11,582;18,36;15,59;1,000000
GS.8.2;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;0,272700
GS.8.3;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
L0_iii.8.5;Yes;Template drift;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,066114
"M0_ii.8.2; M0_iii.8.1";Yes;Architectural infeasibility;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,66;0,66;;;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;;;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,030537
