#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Prec. Micro AveP
M0.3.4;Yes;Template drift;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
"M0_ii.3.2; M0_iv.3.2";Yes;Scope misalignment;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;;;;;;;;;;;;;0,61;;0,61;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
"M0_ii.3.3; M0_iv.3.3";Yes;Scope misalignment;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;;;;;;;;;;;;;0,61;;0,61;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
G0_iii.3.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;1;0,85;0,855;0,84;0,68;0,61
G0_iv.3.3;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;1;0,85;0,855;0,84;0,68;0,61
G1.3.4;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;1;0,60;0,600;0,60;0,60;0,51
"G1.3.5; G2.3.5";Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,60;0,74;;;;;;;;;;;;;;;;;;;;;;;;0,60;0,74;;;;;;;;;;;;;;;;;;;;;;;;0,60;0,74;;;;;;;;;;;;;;;;;;;;;;;;0,51;0,54;;2;1,34;1,337;1,34;1,34;1,05
GS.4.1;No;;H.4.1;X;X;X;P;X;X;X;P;P;P;;P;;;;;P;P;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;;0,72;;;;;0,75;0,61;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;;0,72;;;;;0,75;0,61;;;;;;;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;;0,72;;;;;0,75;0,61;;;;;;;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;;0,58;;;;;0,58;0,51;;;;;;;;13;10,36;5,419;10,28;8,84;8,69
GS.4.2;No;;H.4.2;X;X;X;P;X;X;;P;P;P;;;;;;;P;P;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;0,76;0,76;0,76;;;;;;;0,75;0,61;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;0,74;0,74;0,74;;;;;;;0,75;0,61;;;;;;;;0,78;0,78;0,78;0,78;0,80;0,89;;0,49;0,49;0,49;;;;;;;0,75;0,61;;;;;;;;0,81;0,81;0,81;0,81;0,57;0,64;;0,65;0,65;0,65;;;;;;;0,58;0,51;;;;;;;;11;8,87;4,505;8,82;7,63;7,47
GS.4.3;No;;H.4.3;X;X;X;P;;X;P;P;P;P;;P;;;;;P;P;;;;;;;;0,89;0,89;0,89;0,89;;0,89;0,76;0,76;0,76;0,76;;0,72;;;;;0,75;0,61;;;;;;;;0,89;0,89;0,89;0,89;;0,89;0,74;0,74;0,74;0,74;;0,72;;;;;0,75;0,61;;;;;;;;0,78;0,78;0,78;0,78;;0,89;0,49;0,49;0,49;0,49;;0,72;;;;;0,75;0,61;;;;;;;;0,81;0,81;0,81;0,81;;0,64;0,65;0,65;0,65;0,65;;0,58;;;;;0,58;0,51;;;;;;;;12;9,56;4,619;9,48;8,04;8,12
GS.4.4;No;;H.4.4;X;;;;;;X;;P;P;;;;;;;P;P;;;;;;;;0,89;;;;;;0,76;;0,76;0,76;;;;;;;0,75;0,61;;;;;;;;0,89;;;;;;0,74;;0,74;0,74;;;;;;;0,75;0,61;;;;;;;;0,78;;;;;;0,49;;0,49;0,49;;;;;;;0,75;0,61;;;;;;;;0,81;;;;;;0,65;;0,65;0,65;;;;;;;0,58;0,51;;;;;;;;6;4,52;2,147;4,46;3,61;3,84
GS.4.5;No;;H.4.5;X;X;X;P;X;X;X;;P;P;;P;;;;;P;P;;;;;X;;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;;0,76;0,76;;0,72;;;;;0,75;0,61;;;;;0,60;;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;;0,74;0,74;;0,72;;;;;0,75;0,61;;;;;0,60;;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;;0,49;0,49;;0,72;;;;;0,75;0,61;;;;;0,60;;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;;0,65;0,65;;0,58;;;;;0,58;0,51;;;;;0,51;;;13;10,20;5,829;10,14;8,95;8,55
GS.4.6;No;;H.4.6;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,76;;0,76;;;;;;;;;;;;;;;;;;;;;;;0,74;;0,74;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;2;1,52;0,379;1,48;0,98;1,30
GS.4.7;No;;H.4.7;P;P;P;P;P;P;X;X;X;X;X;P;X;X;X;X;X;X;;X;X;P;P;P;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;0,58;0,61;0,61;0,61;0,61;0,58;0,51;;0,62;0,61;0,61;0,51;0,54;;23;17,64;10,728;17,51;14,92;14,54
GS.4.8;No;;H.4.8;P;;;;;;P;P;P;P;;;;;;;;X;P;P;;;;;;0,89;;;;;;0,76;0,76;0,76;0,76;;;;;;;;0,61;0,85;0,85;;;;;;0,89;;;;;;0,74;0,74;0,74;0,74;;;;;;;;0,61;0,84;0,84;;;;;;0,78;;;;;;0,49;0,49;0,49;0,49;;;;;;;;0,61;0,68;0,68;;;;;;0,81;;;;;;0,65;0,65;0,65;0,65;;;;;;;;0,51;0,62;0,62;;;;;;8;6,24;3,296;6,14;4,70;5,16
GS.4.9;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
GS.4.10;No;;;X;;;;X;;;;;;;;X;X;X;X;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,66;0,66;0,66;0,66;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;0,78;;;;0,80;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;0,81;;;;0,57;;;;;;;;0,61;0,61;0,61;0,61;;;;;;;;;;6;4,32;1,680;4,30;3,54;3,81
GS.4.11;No;;;X;;;;;;;;;;;;X;X;X;X;;;;;;;;;;0,89;;;;;;;;;;;;0,66;0,66;0,66;0,66;;;;;;;;;;0,89;;;;;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;0,78;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;0,81;;;;;;;;;;;;0,61;0,61;0,61;0,61;;;;;;;;;;5;3,52;0,880;3,50;2,74;3,24
GS.4.12;No;;;X;;;;X;;;;;;;;X;X;X;X;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,66;0,66;0,66;0,66;;;;;;;;;;0,89;;;;0,80;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;0,78;;;;0,80;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;0,81;;;;0,57;;;;;;;;0,61;0,61;0,61;0,61;;;;;;;;;;6;4,32;1,680;4,30;3,54;3,81
GS.4.14;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,64;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,64
GS.4.15;No;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;;;;;;;4;3,04;0,759;2,96;1,97;2,59
GS.4.16;No;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;;;;;;;4;3,04;0,759;2,96;1,97;2,59
GS.4.17;No;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,76;0,76;0,76;0,76;;;;;;;;;;;;;;;;;;;;;;0,74;0,74;0,74;0,74;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;0,49;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;0,65;0,65;;;;;;;;;;;;;;;;4;3,04;0,759;2,96;1,97;2,59
GS.4.18;No;;;;;;;;;;;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;0,76;;0,72;;;0,66;;;;;;;;;;;;;;;;;;;;0,74;;0,72;;;0,65;;;;;;;;;;;;;;;;;;;;0,49;;0,72;;;0,49;;;;;;;;;;;;;;;;;;;;0,65;;0,58;;;0,61;;;;;;;;;;;3;2,14;1,078;2,12;1,71;1,83
GS.4.19;No;;;;;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;0,85;;0,85;0,85;;;;;;;;;;;;;;;;;;;;;;0,84;;0,84;0,84;;;;;;;;;;;;;;;;;;;;;;0,68;;0,68;0,68;;;;;;;;;;;;;;;;;;;;;;0,62;;0,61;0,61;;;;3;2,56;2,564;2,53;2,03;1,84
GS.4.20;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,00
GS.4.21;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,00
Q0.4.2;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0.4.7;Yes;Contextual misfit;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0.4.11;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0.4.12;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_ii.4.2;Yes;Template drift;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_iii.4.3;Yes;Scope misalignment;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_iii.4.4;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
"Q0_iv.4.4; Q2.4.1";Yes;Scope misalignment;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,76;;0,72;;;;;;;;;;;;;;;;;;;;;;;0,74;;0,72;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,72;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,58;;;;;;;;;;;;;;2;1,48;0,914;1,46;1,22;1,22
Q2.4.2;Yes;Scope misalignment;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,72;;;;;;;;;;;;;;;;;;;;;;;;;0,58;;;;;;;;;;;;;;1;0,72;0,724;0,72;0,72;0,58
M0_iii.4.2;Yes;Template drift;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
G0.4.1;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,62;;;;;;;1;0,85;0,855;0,84;0,68;0,62
G0.4.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,62;;;;;;;1;0,85;0,855;0,84;0,68;0,62
G0_iv.4.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;1;0,85;0,855;0,84;0,68;0,61
G1.4.2;Yes;Contextual misfit;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;1;0,60;0,600;0,60;0,60;0,51
G1.4.3;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;1;0,60;0,600;0,60;0,60;0,51
GS.5.1;No;;H.5.1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;0,58;0,61;0,61;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;24;18,49;11,582;18,36;15,59;15,16
GS.5.2;No;;H.5.2;P;P;P;P;;;X;X;X;X;X;;;;;;;;X;X;X;X;;X;;0,89;0,89;0,89;0,89;;;0,76;0,76;0,76;0,76;0,75;;;;;;;;0,85;0,85;0,85;0,85;;0,74;;0,89;0,89;0,89;0,89;;;0,74;0,74;0,74;0,74;0,75;;;;;;;;0,84;0,84;0,84;0,84;;0,74;;0,78;0,78;0,78;0,78;;;0,49;0,49;0,49;0,49;0,75;;;;;;;;0,68;0,68;0,68;0,68;;0,74;;0,81;0,81;0,81;0,81;;;0,65;0,65;0,65;0,65;0,52;;;;;;;;0,62;0,62;0,61;0,61;;0,54;;14;11,49;6,551;11,37;9,26;9,34
GS.5.3;No;;;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;0,89;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;0,80;0,89;;;;;;;;;;;;;;;;;;;;0,81;0,81;0,81;0,81;0,57;0,64;;;;;;;;;;;;;;;;;;;;6;5,24;2,580;5,24;4,80;4,43
GS.5.4;No;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,64;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,64
GS.5.5;No;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,66;;;0,66;;;;;;;;;;;;;;;;;;;;;;0,65;;;0,65;;;;;;;;;;;;;;;;;;;;;;0,49;;;0,49;;;;;;;;;;;;;;;;;;;;;;0,61;;;0,61;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
GS.5.6;No;;;;;;;;;;X;X;;;;;;;;;;;;X;;X;;;;;;;;;;0,76;0,76;;;;;;;;;;;;0,85;;0,60;;;;;;;;;;0,74;0,74;;;;;;;;;;;;0,84;;0,60;;;;;;;;;;0,49;0,49;;;;;;;;;;;;0,68;;0,60;;;;;;;;;;0,65;0,65;;;;;;;;;;;;0,61;;0,51;;;4;2,97;1,834;2,92;2,26;2,41
"L0.5.4; L0_iv.5.3";Yes;Responsibility leakage;;X;;;X;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;;;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;;;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;;;0,81;;;;;;;;;;;;;;;;;;;;;;2;1,77;0,443;1,77;1,55;1,61
"M0.5.3; M0_iii.5.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;;;;;;;;;;;;;0,61;;0,61;;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
G0_iv.5.1;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;1;0,85;0,855;0,84;0,68;0,61
G0_iv.5.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;1;0,85;0,855;0,84;0,68;0,61
G1.5.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;0,51;;;1;0,60;0,600;0,60;0,60;0,51
GS.6.1;No;;H.6.1;X;X;P;P;X;X;X;X;X;X;X;X;X;X;X;X;P;X;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;0,58;0,61;0,61;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;24;18,49;11,582;18,36;15,59;15,16
GS.6.2;No;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;0,81;0,81;0,81;0,81;;;;;;;;;;;;;;;;;;;;;;4;3,55;0,887;3,55;3,10;3,22
GS.6.3;No;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
GS.6.4;No;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,85;;0,85;;;;;;;;;;;;;;;;;;;;;;;0,84;;0,84;;;;;;;;;;;;;;;;;;;;;;;0,68;;0,68;;;;;;;;;;;;;;;;;;;;;;;0,62;;0,61;;;;;2;1,71;1,709;1,68;1,35;1,23
L0_ii.6.2;Yes;Template drift;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;0,81;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,81
G0.6.3;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;0,62;;;;;;;1;0,85;0,855;0,84;0,68;0,62
GS.7.1;No;;H.7.1;X;X;X;X;X;X;P;P;P;P;P;P;P;P;P;P;P;P;X;X;X;X;X;P;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;0,81;0,81;0,81;0,81;0,57;0,64;0,65;0,65;0,65;0,65;0,52;0,58;0,61;0,61;0,61;0,61;0,58;0,51;0,62;0,62;0,61;0,61;0,51;0,54;;24;18,49;11,582;18,36;15,59;15,16
