#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Prec. Micro AveP
"L0_iii.2.5; L1.2.1. M0_ii.2.2; M0_iii.2.3";Yes;Scope misalignment;;;;X;;X;;;;;;;;;X;X;;;;;;;;;;;;;0,89;;0,80;;;;;;;;;0,66;0,66;;;;;;;;;;;;;0,89;;0,80;;;;;;;;;0,65;0,65;;;;;;;;;;;;;0,78;;0,80;;;;;;;;;0,49;0,49;;;;;;;;;;;;;0,81;;0,57;;;;;;;;;0,61;0,61;;;;;;;;;;;4;3,00;1,351;3,00;2,56;2,59
L2.3.2;Yes;Template drift;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,64;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,64
"M0.2.1; M0_ii.2.1; M0_iii.2.1";Yes;Scope misalignment;;;;;;;;;;;;;;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;0,66;0,66;0,66;;;0,61;;;;;;;;;;;;;;;;;;;;0,65;0,65;0,65;;;0,61;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;;;0,61;;;;;;;;;;;;;;;;;;;;0,61;0,61;0,61;;;0,51;;;;;;;;4;2,58;1,100;2,57;2,08;2,34
"Q0_iii.2.4; M0_ii.2.4";Yes;Scope misalignment;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;0,76;;;;;0,66;;;;;;;;;;;;;;;;;;;;0,74;;;;;0,65;;;;;;;;;;;;;;;;;;;;0,49;;;;;0,49;;;;;;;;;;;;;;;;;;;;0,65;;;;;0,61;;;;;;;;;;;;2;1,42;0,354;1,39;0,98;1,26
"M0.2.2; M0_ii.2.3; M2.2.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,66;0,66;;;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;;;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;;;;;;;;;;;;;;;;;;;;;;;;0,61;0,61;;;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
M0.2.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
"M0.2.4; M0_iii.2.5";Yes;Architectural infeasibility;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;;;;;;;;;;;;;0,61;;0,61;;;;;;;;;;;2;1,32;0,329;1,31;0,98;1,22
M0_ii.2.5;Yes;Scope misalignment;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_iii.2.2;Yes;Scope misalignment;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
M0_iii.2.4;Yes;Scope misalignment;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,61
