#,Hall.,L0,L0_ii,L0_iii,L0_iv,L*,Q0,Q0_ii,Q0_iii,Q0_iv,Q*,M0,M0_ii,M0_iii,M0_iv,M*,G0,G0_ii,G0_iii,G0_iv,G*
GS.6.4,No,,,,,,,,,,,,,,,,X,,X,,X
L0_ii.6.2,Yes,,X,,,X,,,,,,,,,,,,,,,
G0.6.3,Yes,,,,,,,,,,,,,,,,X,,,,X
GS.7.1,No,X,X,X,X,X,P,P,P,P,X,P,P,P,P,X,X,X,X,X,X
GS.7.2,No,,X,X,X,X,,,,,,P,,,P,X,X,X,X,X,X
GS.7.3,No,,,X,X,X,X,X,X,X,X,,,,,,X,,X,X,X
GS.7.4,No,X,,,X,X,,,,,,,,,,,,,,,
GS.7.5,No,X,,,,X,,,,,,X,X,,,X,,,,,
GS.7.6,No,X,,X,X,X,,,,,,,,,,,,,,,
GS.7.7,No,,,,,,,,,,,,,,,,,,,,
GS.7.8,No,,,,,,,,,,,,,,,,,,,,
GS.7.9,No,,,X,,X,,,,,,,,,,,,,,,
GS.7.10,No,,,,,,,,,,,,,,,,,,,,
GS.7.11,No,,,,,,,,,,,,,,,,,,,,
L0_ii.7.2,Yes,,X,,,X,,,,,,,,,,,,,,,
L0_iii.7.2,Yes,,,X,,X,,,,,,,,,,,,,,,
L0_iii.7.5,Yes,,,X,,X,,,,,,,,,,,,,,,
L0_iii.7.8; Q0_iii.7.4,Yes,,,X,,X,,,X,,X,,,,,,,,,,
Q0_iii.7.2,Yes,,,,,,,,X,,X,,,,,,,,,,
GS.8.1,No,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
GS.8.2,No,X,X,X,X,X,,,,,,,,,,,,,,,
GS.8.3,No,,,,,,,,,,,,,,,,,,,,
L0_iii.8.5,Yes,,,X,,X,,,,,,,,,,,,,,,
M0_ii.8.2; M0_iii.8.1,Yes,,,,,,,,,,,,X,X,,X,,,,,
M0_ii.8.3,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_ii.8.4,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_ii.8.5,Yes,,,,,,,,,,,,X,,,X,,,,,
M0_iii.8.3,Yes,,,,,,,,,,,,,X,,X,,,,,
M0_iv.8.1,Yes,,,,,,,,,,,,,,X,X,,,,,
M0_iv.8.2,Yes,,,,,,,,,,,,,,X,X,,,,,
GS.9.1,No,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X
GS.9.2,No,X,X,X,X,X,X,,,,X,P,,,,X,,,,,
GS.9.3,No,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
GS.9.4,No,X,X,X,X,X,,,,,,,,,,,,,,,
GS.9.5,No,,,,,,,,,,,,,,,,,,,,
GS.9.6,No,,,,,,,,,,,,,,,,X,X,,,X
GS.9.7,No,,,,,,,,,,,,,,,,,,,,
GS.9.8,No,,X,X,,X,,,,,,,,,,,X,,,,X
Q0.9.4,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0_ii.9.4,Yes,,,,,,,X,,,X,,,,,,,,,,
GS.10.1,No,,,,,,,X,X,X,X,X,X,X,X,X,,X,,X,X
GS.10.2,No,X,P,X,X,X,,,,,,X,X,X,,X,P,P,P,P,X
GS.10.3,No,X,,,X,X,X,,,,X,P,P,,,X,X,,,X,X
GS.10.4,No,X,,,,X,,,,,,,,,,,,,,,
GS.10.5,No,,X,X,X,X,,,,,,,,,,,X,X,X,X,X
GS.10.6,No,,,X,,X,,,,,,X,,,,X,,,,,
GS.10.7,No,,,,,,,,,,,,,,,,,,,,
GS.10.8,No,,,,,,,,,,,,,,,,,,,,
GS.10.9,No,,,,,,,,,,,X,,,,X,,,,,
GS.10.10,No,,,,,,,,,,,X,,,,X,,,,,
GS.10.11,No,X,X,X,X,X,,,,,,,,,,,,,,,
Q0.10.2,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.3,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.4,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.5,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.6,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0.10.7,Yes,,,,,,X,,,,X,,,,,,,,,,
Q0_ii.10.4; Q0_iii.10.3,Yes,,,,,,,X,X,,X,,,,,,,,,,
Q0_iii.10.2,Yes,,,,,,,,X,,X,,,,,,,,,,
G0.10.1,Yes,,,,,,,,,,,,,,,,X,,,,X
