run,weight
L0,0.0820876398735799
L0_ii,0.05825574442641155
L0_iii,0.06611429059537029
L0_iv,0.06624241906551635
L1,0.04877423763560263
L2,0.05439053557700522
Q0,0.03254463141710088
Q0_ii,0.0464038609379004
Q0_iii,0.03903647390450158
Q0_iv,0.05838387289655762
Q1,0.02744084735628257
Q2,0.03679422567694542
M0,0.044780900316050226
M0_ii,0.011211241137780815
M0_iii,0.01932604424703169
M0_iv,0.03055864012983685
M1,0.0384171862987956
M2,0.02630904586999231
G0,0.04166310754249595
G0_ii,0.04266678055864013
G0_iii,0.04091569146664389
G0_iv,0.040040146920645774
G1,0.020949004868881866
G2,0.026693431280430512
